Ref,Eng,Heb6,Heb5,Heb4,Heb3,Heb2,Heb1,Highlight,Morph,Strongs
Gen.1.16-08,,,,,,מָּאוֹר,הָ,,HTd/Ncbsa,H9009=ה=the/H3974=מָאוֹר=light
Gen.1.16-09,,,,,,גָּדֹל,הָ,,HTd/Aabsa,H9009=ה=the/H1419a=גָּדוֹל=great_§_great
Gen.1.16-10,,,,,,מֶמְשֶׁלֶת,לְ,,HR/Ncfsc,H9005=ל=to/H4475=מֶמְשָׁלָה=dominion
Gen.1.16-11,,,,,,יּוֹם,הָ,,HTd/Ncbsa,H9009=ה=the/H3117=יוֹם=day_§1_day
Gen.1.16-12,,,,,־,אֶת,וְ,,HC/To,H9002=ו=and/H0853=אֵת=obj./H9014=־=link
Gen.1.16-13,,,,,,מָּאוֹר,הָ,,HTd/Ncbsa,H9009=ה=the/H3974=מָאוֹר=light
Gen.1.16-14,,,,,,קָּטֹן,הָ,,HTd/Aabsa,H9009=ה=the/H6996b=קָטֹן=small_§1_small
Gen.1.16-15,,,,,,מֶמְשֶׁלֶת,לְ,,HR/Ncfsc,H9005=ל=to/H4475=מֶמְשָׁלָה=dominion
Gen.1.16-16,,,,,,לַּיְלָה,הָ,,HTd/Ncbsa,H9009=ה=the/H3915=לַ֫יְלָה=night
Gen.1.16-17,,,,,,אֵת,וְ,,HC/To,H9002=ו=and/H0853=אֵת=obj.
Gen.1.16-18,,,,,׃,כּוֹכָבִים,הָ,,HTd/Ncmpa,H9009=ה=the/H3556=כּוֹכָב=star/H9016=׃=verseEnd
Gen.1.17-01,,,,,,יִּתֵּן,וַ,,Hc/Vqw3ms,H9001=ו=seq/H5414=נָתַן=to give_§2_put|set|apppoint
Gen.1.17-02,,,,,,ם,אֹתָ,,HTo/Sp3mp,H0853=אֵת=obj./H9038=Op3m=them
Gen.1.17-03,,,,,,,אֱלֹהים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.17-04,,,,,,רְקִיעַ,בִּ,,HR/Ncbsc,H9003=ב=in/H7549=רָקִיעַ=expanse
Gen.1.17-05,,,,,,שָּׁמָיִם,הָ,,HTd/Ncmpa,H9009=ה=the/H8064=שָׁמַיִם=heaven
Gen.1.17-06,,,,,,הָאיר,לְ,,HR/Vhcc,H9005=ל=to/H0215=אוֹר=to light
Gen.1.17-07,,,,,,־,עַל,,HR,H5921a=עַל=upon/H9014=־=link
Gen.1.17-08,,,,,׃,אָרֶץ,הָ,,HTd/Ncbsa,H9009=ה=the/H0776=אֶ֫רֶץ=land_§3_planet/H9016=׃=verseEnd
Gen.1.18-01,,,,,מְשֹׁל,לִ,וְ,,HC/R/Vqcc,H9002=ו=and/H9005=ל=to/H4910=מָשַׁל=to rule
Gen.1.18-02,,,,,,יּוֹם,בַּ,,HRd/Ncbsa,H9003=ב=in/H3117=יוֹם=day_§1_day
Gen.1.18-03,,,,,לַּיְלָה,בַ,וּ,,HC/Rd/Ncbsa,H9002=ו=and/H9003=ב=in/H3915=לַ֫יְלָה=night
Gen.1.18-04,,,,,הַבְדִּיל,לֲ,וּ,,HC/R/Vhcc,H9002=ו=and/H9005=ל=to/H0914=בָּדַל=to separate
Gen.1.18-05,,,,,,,בֵּין,,HNcbsc,H0996=בַּ֫יִן=between_§1_between
Gen.1.18-06,,,,,,אוֹר,הָ,,HTd/Ncbsa,H9009=ה=the/H0216=אוֹר=light
Gen.1.18-07,,,,,,בֵין,וּ,,HC/Ncbsc,H9002=ו=and/H0996=בַּ֫יִן=between_§1_between
Gen.1.18-08,,,,,,חשֶׁךְ,הָ,,HTd/Ncbsa,H9009=ה=the/H2822=חֹ֫שֶׁךְ=darkness
Gen.1.18-09,,,,,,יַּרְא,וַ,,Hc/Vqw3ms,H9001=ו=seq/H7200=רָאָה=to see_§1_see|show
Gen.1.18-10,,,,,,,אֱלֹהים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.18-11,,,,,,־,כִּי,,HTc,H3588a=כִּי=for/H9014=־=link
Gen.1.18-12,,,,,,׃,טוֹב,,HVqp3ms,H2896a=טוֹב=pleasant/H9016=׃=verseEnd
Gen.1.19-01,,,,,־,יְהִי,וַ,,Hc/Vqw3ms,H9001=ו=seq/H1961=הָיָה=to be/H9014=־=link
Gen.1.19-02,,,,,,,עֶרֶב,,HNcbsa,H6153=עֶ֫רֶב=evening
Gen.1.19-03,,,,,־,יְהִי,וַ,,Hc/Vqw3ms,H9001=ו=seq/H1961=הָיָה=to be/H9014=־=link
Gen.1.19-04,,,,,,,בֹקֶר,,HNcbsa,H1242=בֹּ֫קֶר=morning
Gen.1.19-05,,,,,,,יוֹם,,HNcbsa,H3117=יוֹם=day_§1_day
Gen.1.19-06,,,,,פ,׃,רְבִיעִי,,HAobsa,H7243=רְבִיעִי=fourth/H9016=׃=verseEnd/H9017=פ=para
Gen.1.20-01,,,,,,יֹּאמֶר,וַ,,Hc/Vqw3ms,H9001=ו=seq/H0559=אָמַר=to say
Gen.1.20-02,,,,,,,אֱלֹהִים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.20-03,,,,,,,יִשְׁרְצוּ,,HVqi3mp,H8317=שָׁרַץ=to swarm
Gen.1.20-04,,,,,,מַּיִם,הָ,,HTd/Ncmpa,H9009=ה=the/H4325=מַי=water_§_water
Gen.1.20-05,,,,,,,שֶׁרֶץ,,HNcbsc,H8318=שֶׁ֫רֶץ=swarm
Gen.1.20-06,,,,,,,נֶפֶשׁ,,HNcbsa,H5315=נֶ֫פֶשׁ=soul_§5_animal
Gen.1.20-07,,,,,,,חַיָּה,,HAafsa,H2416a=חַי=alive
Gen.1.20-08,,,,,,עוֹף,וְ,,HC/Ncbsa,H9002=ו=and/H5775=עוֹף=bird
Gen.1.20-09,,,,,,,יְעוֹפֵף,,HVpi3ms,H5774a=עוּף=to fly
Gen.1.20-10,,,,,,־,עַל,,HR,H5921a=עַל=upon/H9014=־=link
Gen.1.20-11,,,,,,אָרֶץ,הָ,,HTd/Ncbsa,H9009=ה=the/H0776=אֶ֫רֶץ=land_§3_planet
Gen.1.20-12,,,,,,־,עַל,,HR,H5921a=עַל=upon/H9014=־=link
Gen.1.20-13,,,,,,,פְּנֵי,,HNcmpc,H6440=פָּנֶה=face_§4_surface|land
Gen.1.20-14,,,,,,,רְקִיעַ,,HNcbsc,H7549=רָקִיעַ=expanse
Gen.1.20-15,,,,,׃,שָּׁמָיִם,הָ,,HTd/Ncmpa,H9009=ה=the/H8064=שָׁמַיִם=heaven/H9016=׃=verseEnd
Gen.1.21-01,,,,,,יִּבְרָא,וַ,,Hc/Vqw3ms,H9001=ו=seq/H1254a=בָּרָא=to create
Gen.1.21-02,,,,,,,אֱלֹהִים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.21-03,,,,,,־,אֶת,,HTo,H0853=אֵת=obj./H9014=־=link
Gen.1.21-04,,,,,,תַּנִּינם,הָ,,HTd/Ncmpa,H9009=ה=the/H8577b=תַּנִּין=serpent_§_monster
Gen.1.21-05,,,,,,גְּדֹלים,הָ,,HTd/Aampa,H9009=ה=the/H1419a=גָּדוֹל=great_§_great
Gen.1.21-06,,,,,,אֵת,וְ,,HC/To,H9002=ו=and/H0853=אֵת=obj.
Gen.1.21-07,,,,,,־,כָּל,,HNcbsc,H3605=כֹּל=all/H9014=־=link
Gen.1.21-08,,,,,,,נֶפֶשׁ,,HNcbsa,H5315=נֶ֫פֶשׁ=soul_§5_animal
Gen.1.21-09,,,,,׀,חַיָּה,הָ,,HTd/Aafsa,H9009=ה=the/H2416a=חַי=alive/H9015=׀=separate
Gen.1.21-10,,,,,,רֹמֶ֡שֶׂת,הָ,,HTd/Vqrfsa,H9009=ה=the/H7430=רָמַשׂ=to creep
Gen.1.21-11,,,,,,,אֲשֶׁר,,HTr,H0834a=אֲשֶׁר=which
Gen.1.21-12,,,,,,,שָׁרְצוּ,,HVqp3cp,H8317=שָׁרַץ=to swarm
Gen.1.21-13,,,,,,מַּ֜יִם,הָ,,HTd/Ncmpa,H9009=ה=the/H4325=מַי=water_§_water
Gen.1.21-14,,,,,הֶ֗ם,מִינֵ,לְ,,HR/Ncbsc/Sp3mp,H9005=ל=to/H4327=מִין=kind/H9028=Pp3m=their
Gen.1.21-15,,,,,,אֵת,וְ,,HC/To,H9002=ו=and/H0853=אֵת=obj.
Gen.1.21-16,,,,,,־,כָּל,,HNcbsc,H3605=כֹּל=all/H9014=־=link
Gen.1.21-17,,,,,,,עוֹף,,HNcbsa,H5775=עוֹף=bird
Gen.1.21-18,,,,,,,כָּנָף,,HNcbsa,H3671=כָּנָף=wing
Gen.1.21-19,,,,,הוּ,מִינֵ,לְ,,HR/Ncbsc/Sp3ms,H9005=ל=to/H4327=מִין=kind/H9023=Ps3m=his
Gen.1.21-20,,,,,,יַּרְא,וַ,,Hc/Vqw3ms,H9001=ו=seq/H7200=רָאָה=to see_§1_see|show
Gen.1.21-21,,,,,,,אֱלֹהים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.21-22,,,,,,־,כִּי,,HTc,H3588a=כִּי=for/H9014=־=link
Gen.1.21-23,,,,,,׃,טוֹב,,HVqp3ms,H2896a=טוֹב=pleasant/H9016=׃=verseEnd
Gen.1.22-01,,,,,,יְבָרֶךְ,וַ,,Hc/Vpw3ms,H9001=ו=seq/H1288=בָּרַךְ=to bless
Gen.1.22-02,,,,,,ם,אֹתָ,,HTo/Sp3mp,H0853=אֵת=obj./H9038=Op3m=them
Gen.1.22-03,,,,,,,אֱלֹהים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.22-04,,,,,,אמר,לֵ,,HR/Vqcc,H9005=ל=to/H0559=אָמַר=to say
Gen.1.22-05,,,,,,,פְּרוּ,,HVqv2mp,H6509=פָּרָה=be fruitful
Gen.1.22-06,,,,,,רְב֗וּ,וּ,,HC/Vqv2mp,H9002=ו=and/H7235a=רָבָה=to multiply
Gen.1.22-07,,,,,,מִלְאוּ,וּ,,HC/Vqv2mp,H9002=ו=and/H4390=מָלֵא=to fill
Gen.1.22-08,,,,,,־,אֶת,,HTo,H0853=אֵת=obj./H9014=־=link
Gen.1.22-09,,,,,,מַּיִם,הָ,,HTd/Ncmpa,H9009=ה=the/H4325=מַי=water_§_water
Gen.1.22-10,,,,,,יַּמִּים,בַּ,,HRd/Ncmpa,H9003=ב=in/H3220=יָם=sea_§1_sea
Gen.1.22-11,,,,,עוֹף,הָ,וְ,,HC/Td/Ncbsa,H9002=ו=and/H9009=ה=the/H5775=עוֹף=bird
Gen.1.22-12,,,,,,,יִרֶב,,HVqi3ms,H7235a=רָבָה=to multiply
Gen.1.22-13,,,,,׃,אָרֶץ,בָּ,,HRd/Ncbsa,H9003=ב=in/H0776=אֶ֫רֶץ=land_§3_planet/H9016=׃=verseEnd
Gen.1.23-01,,,,,־,יְהִי,וַ,,Hc/Vqw3ms,H9001=ו=seq/H1961=הָיָה=to be/H9014=־=link
Gen.1.23-02,,,,,,,עֶרֶב,,HNcbsa,H6153=עֶ֫רֶב=evening
Gen.1.23-03,,,,,־,יְהִי,וַ,,Hc/Vqw3ms,H9001=ו=seq/H1961=הָיָה=to be/H9014=־=link
Gen.1.23-04,,,,,,,בֹקֶר,,HNcbsa,H1242=בֹּ֫קֶר=morning
Gen.1.23-05,,,,,,,יוֹם,,HNcbsa,H3117=יוֹם=day_§1_day
Gen.1.23-06,,,,,פ,׃,חֲמִישִׁי,,HAobsa,H2549=חֲמִישִׁי=fifth/H9016=׃=verseEnd/H9017=פ=para
Gen.1.24-01,,,,,,יֹּאמֶר,וַ,,Hc/Vqw3ms,H9001=ו=seq/H0559=אָמַר=to say
Gen.1.24-02,,,,,,,אֱלֹהִ֗ים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.24-03,,,,,,,תּוֹצֵא,,HVhi3fs,H3318=יָצָא=to come out_§7_produce|birth|sprout(LIVING_THINGS)
Gen.1.24-04,,,,,,אָ֜רֶץ,הָ,,HTd/Ncbsa,H9009=ה=the/H0776=אֶ֫רֶץ=land_§1_soil
Gen.1.24-05,,,,,,,נֶפֶשׁ,,HNcbsa,H5315=נֶ֫פֶשׁ=soul_§5_animal
Gen.1.24-06,,,,,,,חַיָּה,,HAafsa,H2416a=חַי=alive
Gen.1.24-07,,,,,הּ,מִינָ,לְ,,HR/Ncbsc/Sp3fs,H9005=ל=to/H4327=מִין=kind/H9024=Ps3f=her
Gen.1.24-08,,,,,,,בְּהֵמָה,,HNcfsa,H0929=בְּהֵמָה=animal
Gen.1.24-09,,,,,,רֶמֶשׂ,וָ,,HC/Ncbsa,H9002=ו=and/H7431=רֶ֫מֶשׂ=creeping
Gen.1.24-10,,,,,־,חַיְתוֹ,וְ,,HC/Ncfsc,H9002=ו=and/H2416c=חַיָּה=living thing/H9014=־=link
Gen.1.24-11,,,,,,,אֶרֶץ,,HNcbsa,H0776=אֶ֫רֶץ=land_§1_soil
Gen.1.24-12,,,,,הּ,מִינָ,לְ,,HR/Ncbsc/Sp3fs,H9005=ל=to/H4327=מִין=kind/H9024=Ps3f=her
Gen.1.24-13,,,,,־,יְהִי,וַ,,Hc/Vqw3ms,H9001=ו=seq/H1961=הָיָה=to be/H9014=־=link
Gen.1.24-14,,,,,,׃,כֵן,,HD,H3651c=כֵּן=so/H9016=׃=verseEnd
Gen.1.25-01,,,,,,יַּעַשׂ,וַ,,Hc/Vqw3ms,H9001=ו=seq/H6213a=עָשָׂה=to make_§1_make(OBJECT)
Gen.1.25-02,,,,,,,אֱלֹהִים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.25-03,,,,,,־,אֶת,,HTo,H0853=אֵת=obj./H9014=־=link
Gen.1.25-04,,,,,,,חַיַּת,,HNcfsc,H2416c=חַיָּה=living thing
Gen.1.25-05,,,,,,אָ֜רֶץ,הָ,,HTd/Ncbsa,H9009=ה=the/H0776=אֶ֫רֶץ=land_§3_planet
Gen.1.25-06,,,,,הּ,מִינָ֗,לְ,,HR/Ncbsc/Sp3fs,H9005=ל=to/H4327=מִין=kind/H9024=Ps3f=her
Gen.1.25-07,,,,,־,אֶת,וְ,,HC/To,H9002=ו=and/H0853=אֵת=obj./H9014=־=link
Gen.1.25-08,,,,,,בְּהֵמָה,הָ,,HTd/Ncfsa,H9009=ה=the/H0929=בְּהֵמָה=animal
Gen.1.25-09,,,,,הּ,מִינָ,לְ,,HR/Ncbsc/Sp3fs,H9005=ל=to/H4327=מִין=kind/H9024=Ps3f=her
Gen.1.25-10,,,,,,אֵת,וְ,,HC/To,H9002=ו=and/H0853=אֵת=obj.
Gen.1.25-11,,,,,,־,כָּל,,HNcbsc,H3605=כֹּל=all/H9014=־=link
Gen.1.25-12,,,,,,,רֶמֶשׂ,,HNcbsc,H7431=רֶ֫מֶשׂ=creeping
Gen.1.25-13,,,,,,אֲדָמָה,הָ,,HTd/Ncfsa,H9009=ה=the/H0127=אֲדָמָה=land_§1_soil
Gen.1.25-14,,,,,הוּ,מִינֵ,לְ,,HR/Ncbsc/Sp3ms,H9005=ל=to/H4327=מִין=kind/H9023=Ps3m=his
Gen.1.25-15,,,,,,יַּרְא,וַ,,Hc/Vqw3ms,H9001=ו=seq/H7200=רָאָה=to see_§1_see|show
Gen.1.25-16,,,,,,,אֱלֹהים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.25-17,,,,,,־,כִּי,,HTc,H3588a=כִּי=for/H9014=־=link
Gen.1.25-18,,,,,,׃,טוֹב,,HVqp3ms,H2896a=טוֹב=pleasant/H9016=׃=verseEnd
Gen.1.26-01,,,,,,יֹּאמֶר,וַ,,Hc/Vqw3ms,H9001=ו=seq/H0559=אָמַר=to say
Gen.1.26-02,,,,,,,אֱלֹהִים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.26-03,,,,,,,נַעֲשֶׂה,,HVqi1cp,H6213a=עָשָׂה=to make_§1_make(OBJECT)
Gen.1.26-04,,,,,,,אָדָם,,HNcbsa,H0120=אָדָם=man_§_human
Gen.1.26-05,,,,,נוּ,צַלְמֵ,בְּ,,HR/Ncbsc/Sp1bp,H9003=ב=in/H6754=צֶ֫לֶם=image/H9025=Pp1c=our
Gen.1.26-06,,,,,נוּ,דְמוּתֵ,כִּ,,HR/Ncfsc/Sp1bp,H9004=כ=like/H1823=דְּמוּת=likeness/H9025=Pp1c=our
Gen.1.26-07,,,,,,יִרְדּוּ,וְ,,HC/Vqu3mp,H9002=ו=and/H7287a=רָדָה=to rule
Gen.1.26-08,,,,,,דְגַת,בִ,,HR/Ncfsc,H9003=ב=in/H1710=דָּגָה=fish
Gen.1.26-09,,,,,,יָּ֜ם,הָ,,HTd/Ncbsa,H9009=ה=the/H3220=יָם=sea_§1_sea
Gen.1.26-10,,,,,עוֹף,בְ,וּ,,HC/R/Ncbsc,H9002=ו=and/H9003=ב=in/H5775=עוֹף=bird
Gen.1.26-11,,,,,,שָּׁמַ֗יִם,הָ,,HTd/Ncmpa,H9009=ה=the/H8064=שָׁמַיִם=heaven
Gen.1.26-12,,,,,בְּהֵמָה,בַ,וּ,,HC/Rd/Ncfsa,H9002=ו=and/H9003=ב=in/H0929=בְּהֵמָה=animal
Gen.1.26-13,,,,־,כָל,בְ,וּ,,HC/R/Ncbsc,H9002=ו=and/H9003=ב=in/H3605=כֹּל=all/H9014=־=link
Gen.1.26-14,,,,,,אָרֶץ,הָ,,HTd/Ncbsa,H9009=ה=the/H0776=אֶ֫רֶץ=land_§3_planet
Gen.1.26-15,,,,־,כָל,בְ,וּ,,HC/R/Ncbsc,H9002=ו=and/H9003=ב=in/H3605=כֹּל=all/H9014=־=link
Gen.1.26-16,,,,,,רֶמֶשׂ,הָ,,HTd/Ncbsa,H9009=ה=the/H7431=רֶ֫מֶשׂ=creeping
Gen.1.26-17,,,,,,רֹמֵשׂ,הָ,,HTd/Vqrmsa,H9009=ה=the/H7430=רָמַשׂ=to creep
Gen.1.26-18,,,,,,־,עַל,,HR,H5921a=עַל=upon/H9014=־=link
Gen.1.26-19,,,,,׃,אָרֶץ,הָ,,HTd/Ncbsa,H9009=ה=the/H0776=אֶ֫רֶץ=land_§1_soil/H9016=׃=verseEnd
Gen.1.27-01,,,,,,יִּבְרָא,וַ,,Hc/Vqw3ms,H9001=ו=seq/H1254a=בָּרָא=to create
Gen.1.27-02,,,,,,׀,אֱלֹהִים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1/H9015=׀=separate
Gen.1.27-03,,,,,,־,אֶת,,HTo,H0853=אֵת=obj./H9014=־=link
Gen.1.27-04,,,,,,אָדָם,הָ,,HTd/Ncbsa,H9009=ה=the/H0120=אָדָם=man_§_human
Gen.1.27-05,,,,,וֹ,צַלְמ,בְּ,,HR/Ncbsc/Sp3ms,H9003=ב=in/H6754=צֶ֫לֶם=image/H9023=Ps3m=his
Gen.1.27-06,,,,,,צֶלֶם,בְּ,,HR/Ncbsc,H9003=ב=in/H6754=צֶ֫לֶם=image
Gen.1.27-07,,,,,,,אֱלֹהים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.27-08,,,,,,,בָּרָא,,HVqp3ms,H1254a=בָּרָא=to create
Gen.1.27-09,,,,,,וֹ,אֹת,,HTo/Sp3ms,H0853=אֵת=obj./H9033=Os3m=him
Gen.1.27-10,,,,,,,זָכָר,,HAabsa,H2145=זָכָר=male
Gen.1.27-11,,,,,,נְקֵבָה,וּ,,HC/Aafsa,H9002=ו=and/H5347=נְקֵבָה=female
Gen.1.27-12,,,,,,,בָּרָא,,HVqp3ms,H1254a=בָּרָא=to create
Gen.1.27-13,,,,,׃,ם,אֹתָ,,HTo/Sp3mp,H0853=אֵת=obj./H9038=Op3m=them/H9016=׃=verseEnd
Gen.1.28-01,,,,,,יְבָרֶךְ,וַ,,Hc/Vpw3ms,H9001=ו=seq/H1288=בָּרַךְ=to bless
Gen.1.28-02,,,,,,ם,אֹתָ,,HTo/Sp3mp,H0853=אֵת=obj./H9038=Op3m=them
Gen.1.28-03,,,,,,,אֱלֹהִים֒,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.28-04,,,,,,יֹּאמֶר,וַ,,Hc/Vqw3ms,H9001=ו=seq/H0559=אָמַר=to say
Gen.1.28-05,,,,,,הֶ֜ם,לָ,,HRd/Sp3mp,H9005=ל=to/H9038=Op3m=them
Gen.1.28-06,,,,,,,אֱלֹהִ֗ים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.28-07,,,,,,,פְּרוּ,,HVqv2mp,H6509=פָּרָה=be fruitful
Gen.1.28-08,,,,,,רְבוּ,וּ,,HC/Vqv2mp,H9002=ו=and/H7235a=רָבָה=to multiply
Gen.1.28-09,,,,,,מִלְאוּ,וּ,,HC/Vqv2mp,H9002=ו=and/H4390=מָלֵא=to fill
Gen.1.28-10,,,,,,־,אֶת,,HTo,H0853=אֵת=obj./H9014=־=link
Gen.1.28-11,,,,,,אָרֶץ,הָ,,HTd/Ncbsa,H9009=ה=the/H0776=אֶ֫רֶץ=land_§3_planet
Gen.1.28-12,,,,,הָ,כִבְשֻׁ,וְ,,HC/Vqv2mp/Sp3fs,H9002=ו=and/H3533=כָּבַשׁ=to subdue/H9034=Os3f=her
Gen.1.28-13,,,,,,רְד֞וּ,וּ,,HC/Vqv2mp,H9002=ו=and/H7287a=רָדָה=to rule
Gen.1.28-14,,,,,,דְגַת,בִּ,,HR/Ncfsc,H9003=ב=in/H1710=דָּגָה=fish
Gen.1.28-15,,,,,,יָּם,הָ,,HTd/Ncbsa,H9009=ה=the/H3220=יָם=sea_§1_sea
Gen.1.28-16,,,,,עוֹף,בְ,וּ,,HC/R/Ncbsc,H9002=ו=and/H9003=ב=in/H5775=עוֹף=bird
Gen.1.28-17,,,,,,שָּׁמַיִם,הָ,,HTd/Ncmpa,H9009=ה=the/H8064=שָׁמַיִם=heaven
Gen.1.28-18,,,,־,כָל,בְ,וּ,,HC/R/Ncbsc,H9002=ו=and/H9003=ב=in/H3605=כֹּל=all/H9014=־=link
Gen.1.28-19,,,,,,,חַיָּה,,HNcfsa,H2416a=חַי=alive
Gen.1.28-20,,,,,,רֹמֶשֶׂת,הָ,,HTd/Vqrfsa,H9009=ה=the/H7430=רָמַשׂ=to creep
Gen.1.28-21,,,,,,־,עַל,,HR,H5921a=עַל=upon/H9014=־=link
Gen.1.28-22,,,,,׃,אָרֶץ,הָ,,HTd/Ncbsa,H9009=ה=the/H0776=אֶ֫רֶץ=land_§1_soil/H9016=׃=verseEnd
Gen.1.29-01,,,,,,יֹּאמֶר,וַ,,Hc/Vqw3ms,H9001=ו=seq/H0559=אָמַר=to say
Gen.1.29-02,,,,,,,אֱלֹהִ֗ים,,HNcmpa,H0430=אֱלֹהִים=God_§God@Gen.1.1
Gen.1.29-03,,,,,,,הִנֵּה,,HTj,H2009=הִנֵּה=behold
Gen.1.29-04,,,,,,,נָתַתִּי,,HVqp1cs,H5414=נָתַן=to give_§1_give|deliver|send|produce
Gen.1.29-05,,,,,,כֶ֜ם,לָ,,HRd/Sp2mp,H9005=ל=to/H9036=Op2m=you
Gen.1.29-06,,,,,,־,אֶת,,HTo,H0853=אֵת=obj./H9014=־=link
Gen.1.29-07,,,,,,־,כָּל,,HNcbsc,H3605=כֹּל=all/H9014=־=link
Gen.1.29-08,,,,,,׀,עֵשֶׂב,,HNcbsa,H6212=עֵ֫שֶׂב=vegetation/H9015=׀=separate
Gen.1.29-09,,,,,,,זֹרֵעַ,,HVqrmsa,H2232=זָרַע=to sow
